X,Y,Z
2.728571367583104390e+01,1.921428528481296283e+01,-2.308611386915361940e+00
2.718367286178530406e+01,1.910204038936264936e+01,-2.308611386915361940e+00
2.708163204773956423e+01,1.898979549391233235e+01,-2.308611386915361940e+00
2.697959123369382084e+01,1.887755059846201888e+01,-2.308611386915361940e+00
2.687755041964808100e+01,1.876530570301170542e+01,-2.308611386915361940e+00
2.677550960560234117e+01,1.865306080756138840e+01,-2.308611386915361940e+00
2.667346879155660133e+01,1.854081591211107494e+01,-2.308611386915361052e+00
2.657142797751086150e+01,1.842857101666075792e+01,-2.308611386915361940e+00
2.646938716346511811e+01,1.831632612121044446e+01,-2.308611386915361940e+00
2.636734634941937827e+01,1.820408122576013099e+01,-2.308611386915361052e+00
2.626530553537363843e+01,1.809183633030981397e+01,-2.308611386915360608e+00
2.616326472132789860e+01,1.797959143485950051e+01,-2.308611386915361052e+00
2.606122390728215876e+01,1.786734653940918705e+01,-2.308611386915361940e+00
2.595918309323641537e+01,1.775510164395887003e+01,-2.308611386915360608e+00
2.585714227919067554e+01,1.764285674850855656e+01,-2.308611386915360608e+00
2.575510146514493570e+01,1.753061185305824310e+01,-2.308611386915361052e+00
2.565306065109919587e+01,1.741836695760792608e+01,-2.308611386915361052e+00
2.555101983705345603e+01,1.730612206215761262e+01,-2.308611386915361940e+00
2.544897902300771264e+01,1.719387716670729915e+01,-2.308611386915360608e+00
2.534693820896197280e+01,1.708163227125698214e+01,-2.308611386915360608e+00
2.524489739491623297e+01,1.696938737580666867e+01,-2.308611386915361052e+00
2.514285658087049313e+01,1.685714248035635165e+01,-2.308611386915361496e+00
2.504081576682474974e+01,1.674489758490603819e+01,-2.308611386915361052e+00
2.493877495277900991e+01,1.663265268945572473e+01,-2.308611386915361052e+00
2.483673413873327007e+01,1.652040779400540771e+01,-2.308611386915360608e+00
2.473469332468753024e+01,1.640816289855509424e+01,-2.308611386915360608e+00
2.463265251064179040e+01,1.629591800310478078e+01,-2.308611386915361052e+00
2.453061169659604701e+01,1.618367310765446376e+01,-2.308611386915361052e+00
2.442857088255030718e+01,1.607142821220415030e+01,-2.308611386915360608e+00
2.432653006850456734e+01,1.595918331675383506e+01,-2.308611386915361052e+00
2.422448925445882750e+01,1.584693842130351982e+01,-2.308611386915361052e+00
2.412244844041308767e+01,1.573469352585320635e+01,-2.308611386915362829e+00
2.402040762636734428e+01,1.562244863040289111e+01,-2.308611386915361496e+00
2.391836681232160444e+01,1.551020373495257587e+01,-2.308611386915361052e+00
2.381632599827586461e+01,1.539795883950226241e+01,-2.308611386915361940e+00
2.371428518423012477e+01,1.528571394405194717e+01,-2.308611386915361496e+00
2.361224437018438493e+01,1.517346904860163193e+01,-2.308611386915361496e+00
2.351020355613864510e+01,1.506122415315131846e+01,-2.308611386915361496e+00
2.340816274209290171e+01,1.494897925770100144e+01,-2.308611386915361052e+00
2.330612192804716187e+01,1.483673436225068798e+01,-2.308611386915361496e+00
2.330612192804716187e+01,1.483673436225068798e+01,-2.308611386915362385e+00
